Temática,Título,Respuesta
¿Cómo se asegura la privacidad de la información de cada semirremolque?,Gestión de Semirremolques,La privacidad se garantiza mediante el uso de permisos de acceso.
¿Existe un límite de semirremolques que puedo registrar?,Gestión de Semirremolques,"No, la empresa de autotransporte puede registrar tantos semirremolques tenga o cuantos decida tener registrados."
¿Qué sucede si dos semirremolques tienen el mismo identificador?,Gestión de Semirremolques,"El sistema no permite duplicar identificadores, ya que deben ser únicos para cada semirremolque."
¿Cómo puedo ver más detalles sobre un semirremolque específico?,Gestión de Semirremolques,Puedes visualizar todos los detalles de un semirremolque desde la lista.
¿Puedo vincular cada semirremolque con un transportista específico?,Gestión de Semirremolques,"No, actualmente no es posible vincular semirremolques con transportistas específicos."
¿Se pueden exportar los datos de los semirremolques a un archivo?,Gestión de Semirremolques,"No, el sistema no permite exportar los datos a ningún tipo de archivo."
¿Puedo buscar semirremolques por tipo o sede?,Gestión de Semirremolques,"No, no existe un historial de viajes registrado para los semirremolques."
¿Cómo asigno una sede a un semirremolque?,Gestión de Semirremolques,Puedes asignar una sede al registrar un nuevo semirremolque o editando el campo de sede en el perfil del semirremolque.
¿Puedo cambiar el estado de disponibilidad de un semirremolque?,Gestión de Semirremolques,"Sí, puedes actualizar el estado de disponibilidad del semirremolque, dando clic en el botón azul con ícono de lápiz en la fila del semirremolque correspondiente."
¿Es posible asignar calificaciones o reseñas a cada semirremolque?,Gestión de Semirremolques,"No, la calificación que se les da es al servicio en general de la empresa de transporte."
¿Cómo se actualiza la sede de un semirremolque?,Gestión de Semirremolques,"Se puede actualizar la sede del semirremolque, dando clic en el botón azul con ícono de lápiz en la fila del semirremolque correspondiente."
¿Se notificará a alguien si se elimina un semirremolque?,Gestión de Semirremolques,"No, no se notificará cuando se elimine un semirremolque, ya que el control de la cuenta recae únicamente en el representante de la empresa de autotransporte."
¿Puedo ver un historial de los viajes realizados por cada semirremolque?,Gestión de Semirremolques,"No, no existe un historial de viajes registrado para los semirremolques."
¿Es posible agrupar semirremolques por tipo o sede?,Gestión de Semirremolques,"No, no es posible agrupar semirremolques por tipo o sede."
¿Puedo generar un reporte de todos los semirremolques registrados?,Gestión de Semirremolques,"No, el sistema no permite generar reportes de los registros."
¿Cómo reporto un problema?,Gestión de transportistas,"Desde el perfil de transportistas, desde el inicio hasta la finalización del viaje se pueden reportar problemas."
¿Cómo reporto a un transportista?,Tablero (Representante Transporte),"Lo único que se puede reportar es el servicio al finalizar el viaje."
¿Cómo reporto a una empresa cliente?,Tablero (Representante Transpote),"No se puede reportar a la empresa cliente, lo recomendable es enviar un correo a cargalinkcdm@gmail.com."
¿Cómo hago el segumiento de mi carga?,Tablero (Empresa Cliente),"En la pestaña de Trabajos actuales, en la sección de Gestión de trabajos, en la lista de Viajes en curso, localiza el viaje y en la pestaña de Acciones puedes consultar el estatus en detalles o comunicarte con el representante de la empresa de transporte."
¿Cómo se hacen reportes del viaje?,Tablero (Representante Cliente),"Al finalizar el viaje, antes del pago debes de calificar el servicio general proporcionado por la empresa de trasnporte."
¿Cuánto se tarda la validación de cuentas?,Tablero (Representante Transpote),"El tiempo que se tarda el proceso de validación de cuentas de la empresa de transporte depende de la carga de trabajo."
¿Cómo asigno recursos al viaje?,Tablero (Representante Transpote),"En la sección de trabajos actuales, en la pestaña de viajes en curso, en la columna de ""Acciones"", debes de dar clic a detalles."
¿Cómo visualizo las cargas disponibles?,Tablero (Representante Transpote),"En la sección de ""Cargas disponibles"" podrás observar las ofertas de trabajo y la información proporcionada por las empresas cliente."
¿Cómo visualizo las ofertas de trabajo?,Tablero (Representante Transpote),"En la sección de ""Cargas disponibles"" podrás observar las ofertas de trabajo y la información proporcionada por las empresas cliente."
¿Cómo me comunico con el representante de la empresa cliente?,Tablero (Representante Transporte),"En la sección de ""Chats"" puedes visualizar las conversaciones con los transportistas y los clientes."
¿Cómo me comunico con el representante de la empresa transporte?,Tablero (Representante Cliente),"En la sección de ""Chats"" puedes visualizar las conversaciones con los representantes de las empresas de transporte."
Registrar un problema,Tablero (Representante Cliente),"Un representante cliente puede visualizar los problemas reportados en la sección de Trabajos Actuales, despliega la lista de Viajes en curso y en los detalles del viaje del que quieres obtener información, se puede comunicar con el representante de transporte para obtener más información o llegar a una solución."
¿Cómo utilizo el chatbot?,Representantes,"Para hacer uso del chatbot únicamente ingresa tus preguntas e intentaré responder a lo mejor de mi conocimiento, aunque en ocaciones será necesario reformular tu pregunta."
¿Cómo usar el chatbot?,Representantes,"Para hacer uso del chatbot únicamente ingresa tus preguntas e intentaré responder a lo mejor de mi conocimiento, aunque en ocaciones será necesario reformular tu pregunta."
¿Para que sirve el lápiz en la lista?,Módulo de Sedes,"El ícono de lápiz indica la opción de editar. Al hacer clic en él, puedes modificar la información del recurso."
¿Cómo edito un vehículo?,Representante Transporte,"Debes ingresar a la sección de Vehículos, localizar el vehículo a modificar y dar clic en el botón azul con ícono de lápiz que esté en el mismo renglón."
¿Cómo edito sedes?,Representante Transporte,"Debes ingresar a la sección de Sedes, localizar la sede que desea modificar y dar clic en el botón azul con ícono de lápiz que esté en el mismo renglón."
¿Cómo edito un semirremolque?,Representante Transporte,"Debes ingresar a la sección de Semirremolques, localizar el semirremolque que desea modificar y dar clic en el botón azul con ícono de lápiz que esté en el mismo renglón."
¿Cómo cambio el estatus de un transportista?,Representante Transporte,"El estatus de un transportista únicamente podrá ser modificado desde la cuenta del transportista."
¿Cómo elimino sedes?,Representante Transporte,"En la sección de Sedes, localiza la sede y da clic en el botón rojo con un ícono de papelera que se encuentra en la columna de Acciones en el renglón de la sede que desea eliminar."
¿Cómo veo mis viajes en curso?,Representante Transporte,"En la sección de trabajos actuales, al dar clic en Viajes en curso se desplegará la lista de todos los viajes activos que tenga."
¿Cómo veo los viajes que ya realicé?,Representante Transporte,"En la sección de trabajos actuales, al dar clic en Viajes finalizados se desplegará la lista con el historial de los viajes que hayan sido completados."
¿Cómo veo los viajes actuales?,Representante Transporte,"En la sección de trabajos actuales, al dar clic en Viajes en curso se desplegará la lista de todos los viajes activos que tenga."
¿Cómo veo los trabajos a los que me he postulado?,Representante Transporte,"En la sección de trabajos actuales, al dar clic en Postulaciones se desplegará la lista de todos las postulaciones que hayas hecho."
¿Cómo veo quién se ha postulado a una oferta publicada?,Representante Cliente,"."
¿Cómo asigno recursos?,Representante Transporte,"Cuando un representante de empresa cliente ha aceptado tu postulación, el trabajo te aparecerá en Viajes en curso, debes dar clic en el botón de ""Detalles"" y asignar los recursos necesarios al viaje."
¿Cómo se realiza la asignación de recursos?,Representante Transporte,"Cuando un representante de empresa cliente ha aceptado tu postulación, el trabajo te aparecerá en Viajes en curso, debes dar clic en el botón de ""Detalles"" y asignar los recursos necesarios al viaje."
¿Cómo cambio un recurso?,Representante Transporte,"El transportista debe ser quien reporte un problema en la duración del viaje, si se resuelve el transportista lo deberá marcar, en caso contrario el Representante de la empresa de transporte tendrá oportunidad de cambiar los recursos."
¿Qué pasa si reporto un problema?,Transportista,"Al reportar un problema en el botón debajo de la barra para cambiar el estatus, ambos representantes serán notificados, si el transportista puede resolver el problema lo puede marcar una vez resuelto el problema. En caso contrario el transportista debe comunicarlo a su Representante para que este asigne nuevos recursos."
¿Cómo se reporta un problema?,Representante Transporte,"El problema debe ser reportado por el transportista, desde su cuenta."
¿Cómo reporto un problema?,Representante Transporte,"El problema debe ser reportado por el transportista, desde su cuenta."
¿Qué pasa si el transportista no contesta?,Representante Transporte,"En caso de que el transportista no conteste el chat de la aplicación, el representante de Transporte puede consultar su número de teléfono dentro de la sección de Transportistas."
¿Para que cambio mi estatus?,Transportista,"El cambio de estatus de disponibilidad se debe hacer para que el Representante de transporte tenga mejor gestión de los recursos, después de finalizar cada viaje debes actualizar el estatus en tu perfil."
¿Cómo hablo con mi jefe representante?,Transportista,"En la sección de Chat al transportista le aparecerá una única conversación con el representante de su empresa."
¿Cómo contacto a mi transportista?,Representante Transporte,"En la sección de Chat del perfil de Representante de Transporte debe aparecer una lista de usuarios a los que puedes contactar, al inicio deben aparecer los transportistas que hayas registrado y después los clientes con los que hayas hablado.."
¿Cómo veo las restricciones del sistema?,Usuario,"En la parte inferior de la página de inicio se encuentran los Términos y condiciones de uso."
¿Dónde reviso los términos y condiciones?,Usuario,"En la parte inferior de la página de inicio se encuentran los Términos y condiciones de uso."
¿Cómo corrijo una oferta que publiqué?,Representante Cliente,"Una oferta una vez publicada no puede ser editada por cuestiones de seguridad, se debe eliminar la oferta y publicar nuevamente con las correcciones hechas."
